iter	Logloss
0	0.6268500145
1	0.5912928121
2	0.5603136814
3	0.5383524938
4	0.5223800994
5	0.5078644993
6	0.4891317009
7	0.4786241333
8	0.4684384486
9	0.4600150428
10	0.454174071
11	0.4492456361
12	0.4453303964
13	0.4416952308
14	0.4389125355
15	0.4350526542
16	0.4320298248
17	0.429533744
18	0.4248319785
19	0.42292448
20	0.4214993832
21	0.420341576
22	0.4189715299
23	0.4173439441
24	0.4158557844
25	0.4146586601
26	0.413643837
27	0.4112126594
28	0.4095438833
29	0.4083630086
30	0.4063554805
31	0.4054640673
32	0.4037846118
33	0.4030601032
34	0.4023618415
35	0.401293518
36	0.4002353987
37	0.3993708174
38	0.3979399666
39	0.3971305393
40	0.396661058
41	0.3957903464
42	0.3952620441
43	0.3947644715
44	0.3941345273
45	0.3935529113
46	0.3929660958
47	0.3925379348
48	0.3918731873
49	0.3913733237
50	0.3909115727
51	0.3899300836
52	0.3893086219
53	0.3886731428
54	0.3878149569
55	0.3872623208
56	0.386513718
57	0.3860486729
58	0.3855756266
59	0.3847642402
60	0.3844941624
61	0.3838306956
62	0.3829492948
63	0.3811048065
64	0.3806233956
65	0.3800032399
66	0.379460955
67	0.378777909
68	0.3777143074
69	0.3768592318
70	0.375730131
71	0.3752508509
72	0.3744758253
73	0.3740186587
74	0.3735236248
75	0.3732339277
76	0.3727594691
77	0.3717664517
78	0.3711789548
79	0.3701495953
80	0.3695141068
81	0.3691473229
82	0.3671070878
83	0.366604607
84	0.3656585614
85	0.3650788373
86	0.3646541619
87	0.3641691527
88	0.3630981354
89	0.362553074
90	0.3618943314
91	0.3605257233
92	0.3600376366
93	0.3593946502
94	0.3588263242
95	0.3580342903
96	0.3572927563
97	0.3566904175
98	0.3562781034
99	0.3559807697
