iter	Passed	Remaining
0	53	5330
1	59	2895
2	65	2124
3	71	1708
4	76	1451
5	81	1273
6	84	1123
7	88	1012
8	90	913
9	92	833
10	94	768
11	96	710
12	98	660
13	100	617
14	102	579
15	103	545
16	105	515
17	107	488
18	108	463
19	110	440
20	111	419
21	113	400
22	114	382
23	115	366
24	117	351
25	118	336
26	119	323
27	120	310
28	122	299
29	123	288
30	124	277
31	126	267
32	127	258
33	128	250
34	130	241
35	131	233
36	132	226
37	134	218
38	135	212
39	136	205
40	138	198
41	139	192
42	140	186
43	142	180
44	143	175
45	144	170
46	146	165
47	147	160
48	149	155
49	150	150
50	152	146
51	153	141
52	154	137
53	156	133
54	157	129
55	159	125
56	160	121
57	161	117
58	163	113
59	164	109
60	166	106
61	167	102
62	169	99
63	170	96
64	172	92
65	173	89
66	175	86
67	177	83
68	178	80
69	180	77
70	181	74
71	183	71
72	184	68
73	186	65
74	188	62
75	189	59
76	191	57
77	192	54
78	194	51
79	195	48
80	197	46
81	198	43
82	200	40
83	201	38
84	203	35
85	204	33
86	206	30
87	207	28
88	209	25
89	210	23
90	211	20
91	213	18
92	214	16
93	216	13
94	217	11
95	219	9
96	221	6
97	222	4
98	224	2
99	225	0
